app,fixture,run,status,window_proxy_ms,checkpoint_rss_mib,checkpoint_private_mib,checkpoint_processes,cpu_ms_per_second,sample_duration_s,exe_sha256,fixture_sha256
fmv,stress-2m.md,4,window-observed,18.801,616.434,675.797,1,1004.537,1.011,75cdacca57fb606dae1b34e956475aea00cbf414d045cf68587ef3bd216fc373,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
mdview-zig,gfm-math-images-100k.md,1,window-observed,19.119,46.832,63.047,1,0.0,1.0083,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
aydiler,ordinary-5k.md,5,window-observed,21.78,227.895,314.949,1,0.0,1.0082,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
md-preview,stress-2m.md,4,window-observed,21.254,0.0,0.0,0,0.0,1.0099,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
mdview-zig,gfm-math-images-100k.md,4,window-observed,19.645,46.82,61.766,1,0.0,1.0079,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
fmv,gfm-math-images-100k.md,1,window-observed,19.984,166.316,195.648,1,1022.578,1.0085,75cdacca57fb606dae1b34e956475aea00cbf414d045cf68587ef3bd216fc373,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
aydiler,gfm-math-images-100k.md,2,window-observed,19.318,256.984,354.262,1,0.0,1.0084,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
fmv,ordinary-5k.md,5,window-observed,19.573,135.309,160.781,1,943.904,1.0098,75cdacca57fb606dae1b34e956475aea00cbf414d045cf68587ef3bd216fc373,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
md-preview,ordinary-5k.md,1,window-observed,20.394,418.609,236.152,7,0.0,1.0085,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
marktext,ordinary-5k.md,2,window-observed,454.831,477.586,304.953,5,15.484,1.0091,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
aydiler,stress-2m.md,2,window-observed,20.578,602.223,696.461,1,0.0,1.0081,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
markmello,gfm-math-images-100k.md,5,window-observed,233.878,288.305,344.852,1,0.0,1.009,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
aydiler,ordinary-5k.md,2,window-observed,19.398,227.988,315.516,1,0.0,1.0074,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
aydiler,stress-2m.md,4,window-observed,18.806,881.512,981.898,1,0.0,1.0075,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
fmv,stress-2m.md,1,window-observed,18.59,641.059,699.398,1,1005.498,1.0101,75cdacca57fb606dae1b34e956475aea00cbf414d045cf68587ef3bd216fc373,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
fmv,stress-2m.md,5,window-observed,18.354,714.891,762.941,1,1005.294,1.0103,75cdacca57fb606dae1b34e956475aea00cbf414d045cf68587ef3bd216fc373,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
md-preview,gfm-math-images-100k.md,3,window-observed,18.109,631.809,452.531,7,62.016,1.0078,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
md-preview,ordinary-5k.md,4,window-observed,18.897,416.414,236.379,7,0.0,1.0078,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
mdview-zig,stress-2m.md,3,window-observed,20.507,51.441,68.688,1,0.0,1.0078,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
fmv,gfm-math-images-100k.md,2,window-observed,18.691,167.371,194.645,1,974.366,1.0103,75cdacca57fb606dae1b34e956475aea00cbf414d045cf68587ef3bd216fc373,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
marktext,gfm-math-images-100k.md,4,window-observed,400.783,636.875,463.148,5,0.0,1.0077,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
markmello,ordinary-5k.md,4,window-observed,195.727,138.57,191.285,1,0.0,1.008,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
marktext,stress-2m.md,2,window-observed,375.513,498.238,328.508,5,1006.447,1.0091,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
mdview-zig,ordinary-5k.md,2,window-observed,18.674,45.746,60.176,1,0.0,1.008,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
markmello,ordinary-5k.md,3,window-observed,191.103,137.074,178.5,1,0.0,1.0077,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
marktext,gfm-math-images-100k.md,2,window-observed,412.038,638.926,466.762,5,0.0,1.0082,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
md-preview,gfm-math-images-100k.md,5,window-observed,18.772,628.875,450.754,7,93.008,1.008,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
md-preview,ordinary-5k.md,2,window-observed,18.624,417.539,238.496,7,61.866,1.0102,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
aydiler,gfm-math-images-100k.md,3,window-observed,18.602,257.145,353.027,1,0.0,1.0084,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
fmv,gfm-math-images-100k.md,4,window-observed,18.432,165.793,194.516,1,1005.667,1.0099,75cdacca57fb606dae1b34e956475aea00cbf414d045cf68587ef3bd216fc373,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
markmello,ordinary-5k.md,5,window-observed,200.724,136.617,176.949,1,0.0,1.0081,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
fmv,ordinary-5k.md,3,window-observed,18.747,134.816,160.973,1,882.728,1.0089,75cdacca57fb606dae1b34e956475aea00cbf414d045cf68587ef3bd216fc373,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
