app,fixture,run,status,window_proxy_ms,checkpoint_rss_mib,checkpoint_private_mib,checkpoint_processes,cpu_ms_per_second,sample_duration_s,exe_sha256,fixture_sha256
marktext,gfm-math-images-100k.md,4,window-observed,522.801,629.887,463.539,5,0.0,1.0126,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
markpad,gfm-math-images-100k.md,3,window-observed,23.21,632.742,456.797,7,76.992,1.0147,8cbde9e19bc01fad952f7f3b3276ebc003ac963483334f64f9f1c95be4b146b7,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
markmello,gfm-math-images-100k.md,4,window-observed,266.285,281.73,327.227,1,0.0,1.0109,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
mdview-zig,gfm-math-images-100k.md,3,window-observed,22.55,43.359,60.309,1,0.0,1.0112,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
fmv-0.2.1,gfm-math-images-100k.md,5,window-observed,39.945,138.672,167.586,1,0.0,1.014,f10ddcf8f482b3c50ae1df905a04c24441ceb1fb02370742f8ca38a459529d66,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
aydiler,ordinary-5k.md,1,window-observed,44.672,232.023,319.516,1,0.0,1.0123,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
markmello,ordinary-5k.md,4,window-observed,1020.582,137.383,192.543,1,0.0,1.0106,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
markpad,gfm-math-images-100k.md,1,window-observed,22.544,603.074,424.953,7,0.0,1.0118,8cbde9e19bc01fad952f7f3b3276ebc003ac963483334f64f9f1c95be4b146b7,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
marklite,gfm-math-images-100k.md,3,window-observed,1255.589,154.344,249.148,1,0.0,1.011,98a5cda2c1c4b884c8c94c5b8a5a1d1749df1cecb58c2bcf1e211e73cbde4fa5,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
md-preview,ordinary-5k.md,5,window-observed,55.364,405.531,231.93,7,0.0,1.0134,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
typora,ordinary-5k.md,4,window-observed,332.487,594.73,466.109,5,30.932,1.0103,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
markpad,gfm-math-images-100k.md,4,window-observed,22.842,605.203,425.379,7,123.575,1.0115,8cbde9e19bc01fad952f7f3b3276ebc003ac963483334f64f9f1c95be4b146b7,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
aydiler,gfm-math-images-100k.md,1,window-observed,21.204,258.441,349.398,1,0.0,1.0098,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
md-preview,gfm-math-images-100k.md,2,window-observed,21.061,535.129,360.992,7,77.061,1.0138,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
aydiler,ordinary-5k.md,5,window-observed,22.357,226.148,316.25,1,0.0,1.0104,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
obsidian,ordinary-5k.md,1,window-observed,561.83,458.145,446.246,4,0.0,1.0121,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
fmv-0.2.1,ordinary-5k.md,2,window-observed,26.646,132.277,159.438,1,0.0,1.0105,f10ddcf8f482b3c50ae1df905a04c24441ceb1fb02370742f8ca38a459529d66,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
marktext,ordinary-5k.md,2,window-observed,493.421,471.113,303.297,5,0.0,1.0107,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
moji,gfm-math-images-100k.md,1,window-observed,546.151,603.855,510.59,4,30.833,1.0135,38af3fbe00fe2a1f9c39dd0e681a3195e4ba26f32b1cb250385393bead04bcb5,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
mdview-zig,gfm-math-images-100k.md,5,window-observed,23.62,43.438,60.844,1,0.0,1.0101,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
md-preview,ordinary-5k.md,2,window-observed,21.162,399.742,228.652,7,46.386,1.0105,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
marktext,gfm-math-images-100k.md,3,window-observed,625.387,607.891,444.949,5,15.456,1.011,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
marktext,ordinary-5k.md,4,window-observed,531.429,475.449,307.117,5,0.0,1.0114,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
marklite,gfm-math-images-100k.md,1,window-observed,1253.236,150.152,243.445,1,0.0,1.0131,98a5cda2c1c4b884c8c94c5b8a5a1d1749df1cecb58c2bcf1e211e73cbde4fa5,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
markmello,ordinary-5k.md,1,window-observed,277.841,135.312,178.32,1,0.0,1.0119,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
