app,fixture,run,status,window_proxy_ms,checkpoint_rss_mib,checkpoint_private_mib,checkpoint_processes,cpu_ms_per_second,sample_duration_s,exe_sha256,fixture_sha256
vscode-preview,stress-2m.md,5,window-observed,529.02,2015.688,820.965,10,1832.132,1.0207,5dcf32d814a227f8626426e00708caa6c8f5469980322265a1c398a6458082bc,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
obsidian,images.md,2,window-observed,961.972,740.953,291.492,6,0.0,1.0165,4d5379efcd4909bc9a9bff25636d9ef39ee4677cc83af9d285d7d89792015739,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
aydiler,images.md,3,window-observed,406.963,306.73,297.07,1,0.0,1.0039,cb1f70db3b2150b91e7d49bb140c794a04ce0ab8e04d88d69727dbddcbac9a39,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
vscode-preview,images.md,3,window-observed,525.403,2044.238,511.0,10,235.435,1.0194,5dcf32d814a227f8626426e00708caa6c8f5469980322265a1c398a6458082bc,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
vscode-preview,images.md,5,window-observed,524.997,2044.672,519.797,10,9.834,1.0168,5dcf32d814a227f8626426e00708caa6c8f5469980322265a1c398a6458082bc,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
typora,images.md,4,window-observed,404.781,954.758,342.43,7,9.844,1.0158,3d3804b5be42dedab376be01ac2dd19d60995d04d7b0f2938daac8d9f561a8ff,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
markmello,images.md,3,window-observed,449.717,223.227,217.738,1,0.0,1.0108,dbd3760216650d16334de575263ba71d9234a9333ba7d673dbadbac260353705,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
obsidian,images.md,4,window-observed,582.077,751.387,294.145,6,9.875,1.0126,4d5379efcd4909bc9a9bff25636d9ef39ee4677cc83af9d285d7d89792015739,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
marktext,images.md,1,window-observed,719.979,743.926,202.809,5,0.0,1.0117,6d2a2ce754b755637076692a502cd29165d80d1b773d5b5482f4bfccf76a2acf,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
marktext,images.md,5,window-observed,683.38,745.266,204.758,5,9.885,1.0116,6d2a2ce754b755637076692a502cd29165d80d1b773d5b5482f4bfccf76a2acf,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
fmv,images.md,5,window-observed,143.079,165.531,158.367,1,2128.369,1.0055,60dc3377d0280fb2e48f54660d7cfebc5ee5f1334d2e23be9a844bde60045d7a,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
typora,images.md,3,window-observed,410.436,957.922,344.832,7,19.531,1.024,3d3804b5be42dedab376be01ac2dd19d60995d04d7b0f2938daac8d9f561a8ff,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
md-preview,images.md,5,window-observed,106.065,557.148,275.203,3,913.984,1.0175,06dc8f0622977971d368cd3243913f0c5502bb399802a429130bb1e0b53f2b87,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
aydiler,images.md,5,window-observed,326.852,307.359,299.43,1,0.0,1.005,cb1f70db3b2150b91e7d49bb140c794a04ce0ab8e04d88d69727dbddcbac9a39,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
fmv,images.md,3,window-observed,139.832,165.742,158.621,1,2106.536,1.0064,60dc3377d0280fb2e48f54660d7cfebc5ee5f1334d2e23be9a844bde60045d7a,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
aydiler,images.md,2,window-observed,370.109,307.543,299.516,1,0.0,1.0157,cb1f70db3b2150b91e7d49bb140c794a04ce0ab8e04d88d69727dbddcbac9a39,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
marktext,images.md,4,window-observed,608.121,744.16,206.449,5,9.914,1.0087,6d2a2ce754b755637076692a502cd29165d80d1b773d5b5482f4bfccf76a2acf,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
markmello,images.md,4,window-observed,326.78,224.438,218.879,1,0.0,1.0056,dbd3760216650d16334de575263ba71d9234a9333ba7d673dbadbac260353705,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
fmv,images.md,2,window-observed,169.803,162.238,155.117,1,2226.427,1.0106,60dc3377d0280fb2e48f54660d7cfebc5ee5f1334d2e23be9a844bde60045d7a,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
markmello,images.md,5,window-observed,298.365,224.312,218.797,1,0.0,1.008,dbd3760216650d16334de575263ba71d9234a9333ba7d673dbadbac260353705,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
markmello,images.md,1,window-observed,298.188,224.172,218.676,1,0.0,1.0055,dbd3760216650d16334de575263ba71d9234a9333ba7d673dbadbac260353705,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
mdview-zig,images.md,3,exited--11,,0.0,0.0,0,0.0,1.0282,7b3326a555c0d319e217b217932eef9369d9021322f68a4e7e0309d7a515655e,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
typora,images.md,2,window-observed,348.268,954.871,341.98,7,19.719,1.0143,3d3804b5be42dedab376be01ac2dd19d60995d04d7b0f2938daac8d9f561a8ff,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
marky,images.md,5,window-observed,75.791,673.219,383.578,3,740.193,1.0132,d9e29b70534adf2c2b6004de8c98cf81521ae158944a708b4fcdd21d7c99e452,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
mdview-zig,images.md,2,exited--11,,0.0,0.0,0,0.0,1.0049,7b3326a555c0d319e217b217932eef9369d9021322f68a4e7e0309d7a515655e,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
marky,images.md,1,window-observed,120.658,662.414,372.477,3,815.439,1.0179,d9e29b70534adf2c2b6004de8c98cf81521ae158944a708b4fcdd21d7c99e452,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
typora,images.md,5,window-observed,351.222,963.855,349.312,7,9.799,1.0205,3d3804b5be42dedab376be01ac2dd19d60995d04d7b0f2938daac8d9f561a8ff,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
md-preview,images.md,1,window-observed,110.258,559.246,275.766,3,904.754,1.0169,06dc8f0622977971d368cd3243913f0c5502bb399802a429130bb1e0b53f2b87,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
obsidian,images.md,1,window-observed,672.521,752.547,295.543,6,9.855,1.0147,4d5379efcd4909bc9a9bff25636d9ef39ee4677cc83af9d285d7d89792015739,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
vscode-preview,images.md,1,window-observed,473.05,2026.965,514.691,10,0.0,1.0153,5dcf32d814a227f8626426e00708caa6c8f5469980322265a1c398a6458082bc,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
marky,images.md,4,window-observed,113.79,668.641,376.93,3,859.34,1.0124,d9e29b70534adf2c2b6004de8c98cf81521ae158944a708b4fcdd21d7c99e452,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
fmv,images.md,4,window-observed,126.204,161.344,154.262,1,2082.923,1.0082,60dc3377d0280fb2e48f54660d7cfebc5ee5f1334d2e23be9a844bde60045d7a,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
mdview-zig,images.md,5,exited--11,,0.0,0.0,0,0.0,1.0024,7b3326a555c0d319e217b217932eef9369d9021322f68a4e7e0309d7a515655e,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
md-preview,images.md,3,window-observed,100.931,563.566,279.906,3,790.222,1.0124,06dc8f0622977971d368cd3243913f0c5502bb399802a429130bb1e0b53f2b87,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
typora,images.md,1,window-observed,329.688,799.008,335.633,6,39.326,1.0171,3d3804b5be42dedab376be01ac2dd19d60995d04d7b0f2938daac8d9f561a8ff,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
obsidian,images.md,5,window-observed,602.755,749.918,294.164,6,29.623,1.0127,4d5379efcd4909bc9a9bff25636d9ef39ee4677cc83af9d285d7d89792015739,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
