app,fixture,run,status,window_proxy_ms,checkpoint_rss_mib,checkpoint_private_mib,checkpoint_processes,cpu_ms_per_second,sample_duration_s,exe_sha256,fixture_sha256
obsidian,stress-2m.md,1,renderer-exited,385.549,248.992,207.828,3,0.0,1.0084,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
obsidian,gfm-math-images-100k.md,1,window-observed,391.091,794.125,782.508,4,0.0,1.008,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
typora,ordinary-5k.md,1,window-observed,269.655,611.109,474.848,5,31.001,1.008,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
typora,stress-2m.md,1,window-observed,310.79,586.879,439.27,5,15.499,1.0081,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
vscode-preview,ordinary-5k.md,4,window-observed,304.845,1923.426,1625.531,12,1392.761,1.0097,cfa80a9347a8e6db4ee481bab3e3ecd01f3eae0363b7072e7cc2bbbe88edf1ae,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
obsidian,gfm-math-images-100k.md,5,window-observed,396.537,836.652,830.492,4,0.0,1.0085,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
typora,gfm-math-images-100k.md,5,window-observed,278.634,743.133,609.645,5,77.448,1.0087,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
typora,gfm-math-images-100k.md,4,window-observed,272.842,743.438,607.418,5,15.499,1.0081,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
typora,ordinary-5k.md,4,window-observed,286.084,609.012,475.16,5,46.487,1.0083,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
obsidian,stress-2m.md,5,renderer-exited,387.195,248.75,204.062,3,0.0,1.0086,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
vscode-preview,gfm-math-images-100k.md,3,window-observed,291.052,2095.973,1725.488,12,990.893,1.0092,cfa80a9347a8e6db4ee481bab3e3ecd01f3eae0363b7072e7cc2bbbe88edf1ae,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
obsidian,ordinary-5k.md,5,window-observed,403.43,467.285,439.441,4,15.496,1.0083,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
obsidian,gfm-math-images-100k.md,3,window-observed,391.287,787.355,776.82,4,0.0,1.0082,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
typora,stress-2m.md,5,window-observed,272.652,592.969,446.832,5,15.494,1.0084,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
vscode-preview,gfm-math-images-100k.md,4,window-observed,291.574,2275.32,1944.488,12,1611.503,1.0084,cfa80a9347a8e6db4ee481bab3e3ecd01f3eae0363b7072e7cc2bbbe88edf1ae,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
obsidian,stress-2m.md,2,renderer-exited,412.478,251.863,210.375,3,0.0,1.008,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
obsidian,ordinary-5k.md,1,window-observed,371.666,465.082,436.414,4,15.492,1.0086,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
obsidian,gfm-math-images-100k.md,2,window-observed,391.349,832.262,822.887,4,15.494,1.0085,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
obsidian,stress-2m.md,3,renderer-exited,390.834,252.27,207.867,3,15.503,1.0078,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
vscode-preview,stress-2m.md,2,window-observed,297.037,3881.66,3540.34,12,3202.296,1.01,cfa80a9347a8e6db4ee481bab3e3ecd01f3eae0363b7072e7cc2bbbe88edf1ae,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
typora,ordinary-5k.md,3,window-observed,312.337,607.574,470.48,5,15.501,1.008,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
vscode-preview,gfm-math-images-100k.md,1,window-observed,289.467,2326.711,2071.996,12,1858.502,1.0089,cfa80a9347a8e6db4ee481bab3e3ecd01f3eae0363b7072e7cc2bbbe88edf1ae,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
obsidian,gfm-math-images-100k.md,4,window-observed,395.784,794.781,784.66,4,0.0,1.0106,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
vscode-preview,ordinary-5k.md,1,window-observed,287.372,1916.348,1563.156,12,1285.898,1.0085,cfa80a9347a8e6db4ee481bab3e3ecd01f3eae0363b7072e7cc2bbbe88edf1ae,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
obsidian,ordinary-5k.md,4,window-observed,382.616,468.465,440.797,4,0.0,1.0084,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
typora,stress-2m.md,2,window-observed,304.2,586.172,437.363,5,0.0,1.0094,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
typora,images.md,2,window-observed,365.622,600.227,451.977,5,0.0,1.0229,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
vscode-preview,images.md,4,window-observed,423.854,1906.242,1594.715,12,1760.17,1.012,cfa80a9347a8e6db4ee481bab3e3ecd01f3eae0363b7072e7cc2bbbe88edf1ae,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
obsidian,images.md,1,window-observed,500.684,419.188,363.801,4,0.0,1.0084,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
typora,images.md,3,window-observed,373.298,603.531,455.863,5,15.488,1.0088,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
typora,images.md,4,window-observed,358.631,598.879,453.934,5,30.922,1.0106,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
obsidian,images.md,5,window-observed,398.93,419.195,361.938,4,0.0,1.0096,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
vscode-preview,images.md,1,window-observed,345.156,1913.691,1604.953,12,1715.431,1.011,cfa80a9347a8e6db4ee481bab3e3ecd01f3eae0363b7072e7cc2bbbe88edf1ae,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
obsidian,images.md,3,window-observed,495.464,418.418,361.57,4,0.0,1.0083,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
vscode-preview,images.md,5,window-observed,370.465,1810.473,1435.598,12,1392.218,1.0101,cfa80a9347a8e6db4ee481bab3e3ecd01f3eae0363b7072e7cc2bbbe88edf1ae,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
obsidian,images.md,2,window-observed,466.52,420.355,364.145,4,0.0,1.0093,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
typora,images.md,5,window-observed,328.21,607.191,459.668,5,15.504,1.0078,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
typora,images.md,1,window-observed,353.224,600.262,452.984,5,30.933,1.0103,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
vscode-preview,images.md,2,window-observed,391.683,1870.516,1583.379,12,1671.287,1.0097,cfa80a9347a8e6db4ee481bab3e3ecd01f3eae0363b7072e7cc2bbbe88edf1ae,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
vscode-preview,images.md,3,window-observed,357.964,1917.242,1600.703,12,1130.969,1.0085,cfa80a9347a8e6db4ee481bab3e3ecd01f3eae0363b7072e7cc2bbbe88edf1ae,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
obsidian,images.md,4,window-observed,487.54,422.727,367.758,4,15.502,1.008,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
