app,run,settle_s,sample_s,status,cpu_ms_per_second,rss_mib,processes,exe_sha256,fixture_sha256
after,3,10,5.0044,alive,1.998,174.703,1,efbd52337a3055a582332a25e8528c89aa36b1741f5881777aec44caf04dc835,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
after,1,10,5.0085,alive,0.0,174.57,1,efbd52337a3055a582332a25e8528c89aa36b1741f5881777aec44caf04dc835,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
before,2,10,5.004,alive,2250.213,174.883,1,60dc3377d0280fb2e48f54660d7cfebc5ee5f1334d2e23be9a844bde60045d7a,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
before,1,10,5.0042,alive,2246.114,174.742,1,60dc3377d0280fb2e48f54660d7cfebc5ee5f1334d2e23be9a844bde60045d7a,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
before,3,10,5.009,alive,2192.045,174.91,1,60dc3377d0280fb2e48f54660d7cfebc5ee5f1334d2e23be9a844bde60045d7a,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
after,2,10,5.007,alive,0.0,174.422,1,efbd52337a3055a582332a25e8528c89aa36b1741f5881777aec44caf04dc835,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
