app,fixture,run,status,window_proxy_ms,checkpoint_rss_mib,checkpoint_private_mib,checkpoint_processes,cpu_ms_per_second,sample_duration_s,exe_sha256,fixture_sha256
md-preview,gfm-math-images-100k.md,3,window-observed,20.553,559.598,386.656,7,139.3,1.0095,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
fmv-0.2.1,gfm-math-images-100k.md,4,window-observed,22.936,138.727,167.453,1,0.0,1.0093,f10ddcf8f482b3c50ae1df905a04c24441ceb1fb02370742f8ca38a459529d66,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
markmello,gfm-math-images-100k.md,3,window-observed,254.905,285.918,341.648,1,0.0,1.0091,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
markmello,gfm-math-images-100k.md,1,window-observed,256.563,288.145,345.938,1,0.0,1.0095,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
fmv-0.2.1,ordinary-5k.md,2,window-observed,20.787,127.566,154.211,1,0.0,1.0088,f10ddcf8f482b3c50ae1df905a04c24441ceb1fb02370742f8ca38a459529d66,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
fmv,ordinary-5k.md,3,window-observed,20.251,127.242,154.238,1,0.0,1.0091,03f5bbbbf613105a32c1d681080c69ac52730fc60af90cb707bd7dcfbdd80970,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
obsidian,gfm-math-images-100k.md,4,window-observed,461.308,814.996,812.246,4,15.423,1.0131,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
obsidian,gfm-math-images-100k.md,2,window-observed,426.009,815.703,811.242,4,0.0,1.0103,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
typora,ordinary-5k.md,1,window-observed,387.562,595.762,466.934,5,30.925,1.0105,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
typora,ordinary-5k.md,3,window-observed,345.209,594.422,465.863,5,15.462,1.0105,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
fmv-0.2.1,gfm-math-images-100k.md,5,window-observed,20.339,138.414,167.484,1,0.0,1.0092,f10ddcf8f482b3c50ae1df905a04c24441ceb1fb02370742f8ca38a459529d66,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
mdview-zig,gfm-math-images-100k.md,2,window-observed,37.971,45.531,59.988,1,0.0,1.0085,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
markmello,ordinary-5k.md,2,window-observed,264.446,136.91,191.836,1,0.0,1.0088,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
md-preview,ordinary-5k.md,4,window-observed,36.561,403.719,229.23,7,15.48,1.0094,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
marktext,ordinary-5k.md,5,window-observed,669.343,511.25,380.992,5,0.0,1.0096,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
aydiler,ordinary-5k.md,1,window-observed,21.01,227.766,314.379,1,0.0,1.01,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
aydiler,ordinary-5k.md,5,window-observed,21.415,227.691,314.449,1,0.0,1.0098,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
aydiler,gfm-math-images-100k.md,2,window-observed,21.067,256.82,347.008,1,0.0,1.01,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
