renderer,fixture,status,exit_code,sampled_peak_bytes,output,error,run
mmdr-text,labels.mmd,ok,0,6012928,render_ms=15.415 font_ms=0.578 raster_ms=1.330 pipeline_ms=17.414 svg_bytes=2154 width=488 height=117,,3
mmdr-text,malformed-flowchart.mmd,error,2,4177920,,ERROR: unexpected token '-->' at 3:5; expected node identifier,3
mmdr-text,mindmap.mmd,ok,0,9584640,render_ms=13.868 font_ms=0.760 raster_ms=1.714 pipeline_ms=16.477 svg_bytes=7717 width=808 height=180,,3
mmdr-text,oversize.mmd,error,2,0,,ERROR: Diagram exceeds prototype's 64 KiB input limit,3
mmdr-text,pie.mmd,ok,0,12001280,render_ms=14.893 font_ms=0.674 raster_ms=2.024 pipeline_ms=17.684 svg_bytes=2710 width=456 height=360,,3
mmdr-text,sequence-realistic.mmd,ok,0,14802944,render_ms=14.140 font_ms=0.568 raster_ms=3.851 pipeline_ms=18.648 svg_bytes=10986 width=659 height=653,,3
mmdr-text,sequence.mmd,ok,0,4820992,render_ms=13.776 font_ms=0.563 raster_ms=1.402 pipeline_ms=15.836 svg_bytes=4700 width=450 height=265,,3
mmdr-text,state.mmd,ok,0,10661888,render_ms=14.171 font_ms=0.589 raster_ms=1.100 pipeline_ms=15.951 svg_bytes=3861 width=145 height=183,,3
mmdr-text,styled.mmd,ok,0,5005312,render_ms=15.788 font_ms=0.559 raster_ms=0.764 pipeline_ms=17.198 svg_bytes=1979 width=328 height=75,,3
mmdr-text,unicode.mmd,ok,0,55087104,render_ms=16.135 font_ms=8.221 raster_ms=1.334 pipeline_ms=25.778 svg_bytes=3731 width=885 height=75,,3
mmdr-text,workflow.mmd,ok,0,24199168,render_ms=244.238 font_ms=0.831 raster_ms=4.225 pipeline_ms=249.386 svg_bytes=15479 width=958 height=1365,,3
rusty-text,chain-200.mmd,ok,0,28176384,render_ms=8.927 font_ms=0.742 raster_ms=16.222 pipeline_ms=25.976 svg_bytes=116548 width=106 height=16633,,3
rusty-text,chain-2000.mmd,aborted,-1073741571,14544896,,thread 'main' (24236) has overflowed its stack,3
rusty-text,class.mmd,ok,0,9052160,render_ms=0.261 font_ms=0.683 raster_ms=0.920 pipeline_ms=1.956 svg_bytes=2191 width=184 height=213,,3
rusty-text,er.mmd,ok,0,8953856,render_ms=0.259 font_ms=0.660 raster_ms=1.067 pipeline_ms=2.076 svg_bytes=2735 width=160 height=225,,3
rusty-text,flowchart.mmd,ok,0,7933952,render_ms=0.341 font_ms=0.624 raster_ms=1.018 pipeline_ms=2.076 svg_bytes=2835 width=492 height=156,,3
rusty-text,gantt.mmd,ok,0,2678784,render_ms=0.131 font_ms=0.589 raster_ms=1.480 pipeline_ms=2.285 svg_bytes=4206 width=840 height=226,,3
rusty-text,gitgraph.mmd,ok,0,8753152,render_ms=0.107 font_ms=0.589 raster_ms=0.703 pipeline_ms=1.495 svg_bytes=1472 width=357 height=200,,3
rusty-text,invalid-trailing.mmd,error,2,3989504,,"ERROR: unexpected token at byte 64: ""???""",3
rusty-text,invalid.mmd,error,2,3919872,,"ERROR: unexpected token at byte 0: ""notADiagram
    {{{ unexpected input""",3
rusty-text,labels.mmd,ok,0,9093120,render_ms=0.287 font_ms=0.685 raster_ms=1.262 pipeline_ms=2.319 svg_bytes=1441 width=756 height=90,,3
rusty-text,malformed-flowchart.mmd,ok,0,2682880,render_ms=0.194 font_ms=0.574 raster_ms=0.381 pipeline_ms=1.241 svg_bytes=487 width=81 height=73,,3
rusty-text,mindmap.mmd,ok,0,10653696,render_ms=0.155 font_ms=0.597 raster_ms=1.568 pipeline_ms=2.400 svg_bytes=3616 width=472 height=542,,3
rusty-text,oversize.mmd,error,2,3973120,,ERROR: Diagram exceeds prototype's 64 KiB input limit,3
rusty-text,pie.mmd,ok,0,10317824,render_ms=0.096 font_ms=0.612 raster_ms=1.130 pipeline_ms=1.926 svg_bytes=1805 width=620 height=420,,3
rusty-text,sequence-realistic.mmd,ok,0,12435456,render_ms=0.168 font_ms=0.606 raster_ms=3.244 pipeline_ms=4.103 svg_bytes=7166 width=775 height=574,,3
rusty-text,sequence.mmd,ok,0,0,render_ms=0.122 font_ms=0.589 raster_ms=1.095 pipeline_ms=1.898 svg_bytes=2873 width=353 height=254,,3
rusty-text,state.mmd,ok,0,0,render_ms=0.320 font_ms=0.629 raster_ms=0.940 pipeline_ms=1.976 svg_bytes=2589 width=154 height=238,,3
rusty-text,styled.mmd,ok,0,8749056,render_ms=0.260 font_ms=0.633 raster_ms=0.656 pipeline_ms=1.634 svg_bytes=1292 width=300 height=73,,3
rusty-text,unicode.mmd,ok,0,49881088,render_ms=0.312 font_ms=8.846 raster_ms=1.354 pipeline_ms=10.594 svg_bytes=2518 width=794 height=73,,3
rusty-text,workflow.mmd,ok,0,20344832,render_ms=1.215 font_ms=0.641 raster_ms=5.320 pipeline_ms=7.262 svg_bytes=10359 width=956 height=1335,,3
selkie-text,chain-200.mmd,ok,0,30892032,render_ms=33.486 font_ms=0.799 raster_ms=20.729 pipeline_ms=55.106 svg_bytes=105544 width=86 height=20629,,3
selkie-text,chain-2000.mmd,aborted,-1073740791,22265856,,"thread 'main' (28764) panicked at C:\Users\theco\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\selkie-rs-0.3.0\src\layout\dagre\rank\network_simplex.rs:360:9:
dfs_assign recursion overflow: counter=1001, v=N1001, parent=Some(""N1000"")
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",3
selkie-text,class.mmd,ok,0,4546560,render_ms=0.936 font_ms=0.746 raster_ms=1.183 pipeline_ms=2.961 svg_bytes=6080 width=142 height=320,,3
selkie-text,er.mmd,ok,0,0,render_ms=1.040 font_ms=0.660 raster_ms=1.509 pipeline_ms=3.304 svg_bytes=5947 width=252 height=403,,3
selkie-text,flowchart.mmd,ok,0,11259904,render_ms=2.890 font_ms=0.670 raster_ms=1.198 pipeline_ms=4.850 svg_bytes=4885 width=494 height=126,,3
selkie-text,gantt.mmd,ok,0,8769536,render_ms=1.306 font_ms=0.637 raster_ms=2.412 pipeline_ms=4.439 svg_bytes=6652 width=784 height=148,,3
selkie-text,gitgraph.mmd,ok,0,0,render_ms=1.093 font_ms=0.641 raster_ms=1.239 pipeline_ms=3.062 svg_bytes=6003 width=282 height=205,,3
selkie-text,invalid-trailing.mmd,ok,0,11751424,render_ms=2.880 font_ms=0.660 raster_ms=1.318 pipeline_ms=4.942 svg_bytes=4847 width=234 height=583,,3
selkie-text,invalid.mmd,error,2,5066752,,ERROR: Unknown diagram type: Could not detect diagram type,3
selkie-text,labels.mmd,ok,0,0,render_ms=2.409 font_ms=0.636 raster_ms=1.229 pipeline_ms=4.359 svg_bytes=3545 width=504 height=106,,3
selkie-text,malformed-flowchart.mmd,error,2,5525504,,"ERROR: Parse error:  --> 2:7
  |
2 |     A[Unclosed label
  |       ^---
  |
  = expected quoted_string or md_string",3
selkie-text,mindmap.mmd,ok,0,5869568,render_ms=4.316 font_ms=0.694 raster_ms=1.651 pipeline_ms=6.749 svg_bytes=9175 width=567 height=330,,3
selkie-text,oversize.mmd,error,2,3989504,,ERROR: Diagram exceeds prototype's 64 KiB input limit,3
selkie-text,pie.mmd,ok,0,11841536,render_ms=2.387 font_ms=0.684 raster_ms=2.395 pipeline_ms=5.563 svg_bytes=2934 width=584 height=450,,3
selkie-text,sequence-realistic.mmd,ok,0,2686976,render_ms=0.681 font_ms=0.638 raster_ms=3.476 pipeline_ms=4.889 svg_bytes=8838 width=681 height=571,,3
selkie-text,sequence.mmd,ok,0,10760192,render_ms=0.569 font_ms=0.638 raster_ms=1.461 pipeline_ms=2.760 svg_bytes=5627 width=450 height=258,,3
selkie-text,state.mmd,ok,0,21286912,render_ms=18.267 font_ms=0.785 raster_ms=1.387 pipeline_ms=20.531 svg_bytes=4363 width=124 height=230,,3
selkie-text,styled.mmd,ok,0,2691072,render_ms=2.623 font_ms=0.682 raster_ms=0.759 pipeline_ms=4.171 svg_bytes=3544 width=293 height=69,,3
selkie-text,unicode.mmd,ok,0,53633024,render_ms=2.843 font_ms=9.146 raster_ms=1.450 pipeline_ms=13.527 svg_bytes=4395 width=803 height=69,,3
selkie-text,workflow.mmd,ok,0,24166400,render_ms=4.294 font_ms=0.719 raster_ms=4.361 pipeline_ms=9.463 svg_bytes=10549 width=1034 height=1473,,3
merman-text,chain-200.mmd,ok,0,37756928,render_ms=62.171 font_ms=1.123 raster_ms=23.276 pipeline_ms=86.660 svg_bytes=266305 width=111 height=20870,,3
merman-text,chain-2000.mmd,error,2,57077760,,ERROR: Diagram exceeds prototype's 16 megapixel limit,3
merman-text,class.mmd,ok,0,12492800,render_ms=2.216 font_ms=0.683 raster_ms=1.321 pipeline_ms=4.309 svg_bytes=14206 width=163 height=294,,3
merman-text,er.mmd,ok,0,4898816,render_ms=2.246 font_ms=0.649 raster_ms=1.571 pipeline_ms=4.550 svg_bytes=12985 width=146 height=329,,3
merman-text,flowchart.mmd,ok,0,13017088,render_ms=2.463 font_ms=0.650 raster_ms=1.316 pipeline_ms=4.513 svg_bytes=12855 width=493 height=118,,3
merman-text,gantt.mmd,ok,0,12476416,render_ms=1.752 font_ms=0.647 raster_ms=2.914 pipeline_ms=5.396 svg_bytes=8291 width=1184 height=148,,3
merman-text,gitgraph.mmd,ok,0,0,render_ms=1.364 font_ms=0.652 raster_ms=1.345 pipeline_ms=3.448 svg_bytes=7888 width=272 height=173,,3
merman-text,invalid-trailing.mmd,error,2,6500352,,"ERROR: Diagram parse error (flowchart-v2): User { error: LexError { message: ""Unexpected character at 64"" } }",3
merman-text,invalid.mmd,error,2,5050368,,"ERROR: No diagram type detected matching given configuration for text: notADiagram
    {{{ unexpected input",3
merman-text,labels.mmd,ok,0,8151040,render_ms=2.307 font_ms=0.682 raster_ms=1.516 pipeline_ms=4.598 svg_bytes=10478 width=468 height=118,,3
merman-text,malformed-flowchart.mmd,error,2,0,,"ERROR: Diagram parse error (flowchart-v2): User { error: LexError { message: ""Unterminated node label (missing `]`)"" } }",3
merman-text,mindmap.mmd,ok,0,6950912,render_ms=7.405 font_ms=0.687 raster_ms=2.496 pipeline_ms=10.680 svg_bytes=27074 width=358 height=473,,3
merman-text,oversize.mmd,error,2,4747264,,ERROR: Diagram exceeds prototype's 64 KiB input limit,3
merman-text,pie.mmd,ok,0,12775424,render_ms=1.229 font_ms=0.658 raster_ms=2.391 pipeline_ms=4.359 svg_bytes=2533 width=590 height=450,,3
merman-text,sequence-realistic.mmd,ok,0,16211968,render_ms=1.856 font_ms=0.676 raster_ms=3.412 pipeline_ms=6.038 svg_bytes=25144 width=746 height=595,,3
merman-text,sequence.mmd,ok,0,12566528,render_ms=1.515 font_ms=0.657 raster_ms=1.432 pipeline_ms=3.694 svg_bytes=20997 width=450 height=259,,3
merman-text,state.mmd,ok,0,4329472,render_ms=3.610 font_ms=0.732 raster_ms=1.622 pipeline_ms=6.047 svg_bytes=77289 width=107 height=234,,3
merman-text,styled.mmd,ok,0,12509184,render_ms=2.011 font_ms=0.658 raster_ms=1.033 pipeline_ms=3.799 svg_bytes=9931 width=319 height=70,,3
merman-text,unicode.mmd,ok,0,55283712,render_ms=2.475 font_ms=8.758 raster_ms=1.664 pipeline_ms=12.993 svg_bytes=12087 width=882 height=70,,3
merman-text,workflow.mmd,ok,0,24346624,render_ms=5.200 font_ms=0.673 raster_ms=4.520 pipeline_ms=10.477 svg_bytes=28891 width=941 height=1379,,3
