app,run,settle_s,sample_s,status,cpu_ms_per_second,rss_mib,processes,exe_sha256,fixture_sha256
restore100,3,10,5.0081,alive,0.0,129.781,1,ede3ff3e56ef77cfc17d8d7508f0437140a7db6dbcac57312c8164421e9b92ad,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
before,3,10,5.0081,alive,0.0,129.352,1,34fe1b6d0315779a7e890010b4f77a6701773a1d759daf46bd32578b33d1a695,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
after,2,10,5.0076,alive,0.0,128.93,1,ede3ff3e56ef77cfc17d8d7508f0437140a7db6dbcac57312c8164421e9b92ad,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
restore100,1,10,5.0076,alive,0.0,128.344,1,ede3ff3e56ef77cfc17d8d7508f0437140a7db6dbcac57312c8164421e9b92ad,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
before,2,10,5.0076,alive,0.0,129.031,1,34fe1b6d0315779a7e890010b4f77a6701773a1d759daf46bd32578b33d1a695,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
restore100,2,10,5.0081,alive,0.0,130.242,1,ede3ff3e56ef77cfc17d8d7508f0437140a7db6dbcac57312c8164421e9b92ad,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
after,1,10,5.0075,alive,0.0,129.008,1,ede3ff3e56ef77cfc17d8d7508f0437140a7db6dbcac57312c8164421e9b92ad,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
before,1,10,5.0081,alive,0.0,128.953,1,34fe1b6d0315779a7e890010b4f77a6701773a1d759daf46bd32578b33d1a695,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
after,3,10,5.0075,alive,0.0,129.012,1,ede3ff3e56ef77cfc17d8d7508f0437140a7db6dbcac57312c8164421e9b92ad,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
