variant,fixture,repetition,binary_sha256,fixture_sha256,scroll_median_ms,scroll_p95_ms,final_scroll_offset
fat-z,ordinary-5k.md,15,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,1.1242999999999999,4.444100000000001,4500
fat-z,ordinary-5k.md,13,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,1.2032,3.8471,4500
fat-3,gfm-math-images-100k.md,7,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,12.6121,28.738500000000002,8358.706
fat-z,gfm-math-images-100k.md,11,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,22.7287,41.6985,8358.706
fat-3,ordinary-5k.md,9,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.8008,1.1276000000000002,4500
baseline,ordinary-5k.md,15,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.7031999999999999,2.5587999999999997,4500
baseline,ordinary-5k.md,13,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.7372000000000001,2.5912,4500
fat-3,ordinary-5k.md,5,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.6452,3.0555,4500
fat-z,ordinary-5k.md,1,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,1.1747,1.5206,4500
fat-s,ordinary-5k.md,3,4c6bb79d474e412bd3d1626221f09cfd8dbdb9ff7b5f03e96fce92f47935ca79,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,1.1956,3.7876,4500
fat-3,ordinary-5k.md,12,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.7571,2.1296,4500
fat-s,gfm-math-images-100k.md,2,4c6bb79d474e412bd3d1626221f09cfd8dbdb9ff7b5f03e96fce92f47935ca79,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,14.544400000000001,28.9771,8358.706
fat-z,gfm-math-images-100k.md,2,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,19.902,43.9654,8358.706
fat-3,gfm-math-images-100k.md,12,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,10.9739,49.375299999999996,8358.706
